common_norm	common_display	scientific
abade	Abade	Mycteroperca fusca|Mycteroperca rubra
abade bonaci	Abade Bonaci	Mycteroperca bonaci
abadejo	Abadejo	Mycteroperca bonaci|Mycteroperca fusca|Mycteroperca interstitialis|Mycteroperca phenax|Pollachius pollachius
abadejo garropa	Abadejo Garropa	Mycteroperca phenax
abadejo salmon	Abadejo Salmon	Mycteroperca interstitialis
abadexo	Abadexo	Pollachius pollachius
abadira	Abadira	Pollachius pollachius
abado blanco	Abado Blanco	Mycteroperca cidi
abalea	abalea	Echium vulgare
abambolo	Abámbolo	Malacocephalus occidentalis
abambolo de bajura	Abámbolo de Bajura	Malacocephalus laevis
abanico amistoso	Abanico amistoso	Rhipidura albolimbata
abanico azul	Abanico Azul	Rhipidura superciliaris
abanico azul de las bisayas	Abanico azul de las Bisayas	Rhipidura samarensis
abanico azul de mindanao	Abanico azul de Mindanao	Rhipidura superciliaris
abanico cabeciazul	Abanico Cabeciazul	Rhipidura cyaniceps
abanico cabeciazul de las bisayas	Abanico cabeciazul de las Bisayas	Rhipidura albiventris
abanico cabeciazul de luzon	Abanico cabeciazul de Luzón	Rhipidura cyaniceps
abanico cabeciazul de tablas	Abanico cabeciazul de Tablas	Rhipidura sauli
abanico cabecipardo	Abanico cabecipardo	Rhipidura diluta
abanico cejiblanco	Abanico cejiblanco	Rhipidura aureola
abanico colicanela	Abanico colicanela	Rhipidura fuscorufa
abanico colipinto	Abanico colipinto	Rhipidura maculipectus
abanico colirrojo	Abanico colirrojo	Rhipidura phoenicura
abanico de arafura	Abanico de Arafura	Rhipidura dryas
abanico de bougainville	Abanico de Bougainville	Rhipidura drownei
abanico de buru	Abanico de Buru	Rhipidura superflua
abanico de celebes	Abanico de Célebes	Rhipidura teysmanni
abanico de cockerell	Abanico de Cockerell	Rhipidura cockerelli
abanico de kandavu	Abanico de Kandavu	Rhipidura personata
abanico de la manus	Abanico de la Manus	Rhipidura semirubra
abanico de la renell	Abanico de la Renell	Rhipidura rennelliana
abanico de las bismarck	Abanico de las Bismarck	Rhipidura dahli
